29: --- wins 🔵: 15, wins 🔴: 11, no winner: 3   ---   winrate 🔵: 0,517241, winrate 🔴: 0,379310   ---   clean winrate 🔵: 0,576923, clean winrate 🔴: 0,423077 ### player1bias: 18, 0,692308
30: --- wins 🔴: 12, wins 🔵: 15, no winner: 3   ---   winrate 🔴: 0,400000, winrate 🔵: 0,500000   ---   clean winrate 🔴: 0,444444, clean winrate 🔵: 0,555556 ### player1bias: 19, 0,703704
31: --- wins 🔵: 16, wins 🔴: 12, no winner: 3   ---   winrate 🔵: 0,516129, winrate 🔴: 0,387097   ---   clean winrate 🔵: 0,571429, clean winrate 🔴: 0,428571 ### player1bias: 20, 0,714286
32: --- wins 🔴: 12, wins 🔵: 16, no winner: 4   ---   winrate 🔴: 0,375000, winrate 🔵: 0,500000   ---   clean winrate 🔴: 0,428571, clean winrate 🔵: 0,571429 ### player1bias: 20, 0,714286
33: --- wins 🔵: 16, wins 🔴: 12, no winner: 5   ---   winrate 🔵: 0,484848, winrate 🔴: 0,363636   ---   clean winrate 🔵: 0,571429, clean winrate 🔴: 0,428571 ### player1bias: 20, 0,714286
34: --- wins 🔴: 12, wins 🔵: 16, no winner: 6   ---   winrate 🔴: 0,352941, winrate 🔵: 0,470588   ---   clean winrate 🔴: 0,428571, clean winrate 🔵: 0,571429 ### player1bias: 20, 0,714286
35: --- wins 🔵: 16, wins 🔴: 12, no winner: 7   ---   winrate 🔵: 0,457143, winrate 🔴: 0,342857   ---   clean winrate 🔵: 0,571429, clean winrate 🔴: 0,428571 ### player1bias: 20, 0,714286
36: --- wins 🔴: 12, wins 🔵: 17, no winner: 7   ---   winrate 🔴: 0,333333, winrate 🔵: 0,472222   ---   clean winrate 🔴: 0,413793, clean winrate 🔵: 0,586207 ### player1bias: 20, 0,689655
37: --- wins 🔵: 18, wins 🔴: 12, no winner: 7   ---   winrate 🔵: 0,486486, winrate 🔴: 0,324324   ---   clean winrate 🔵: 0,600000, clean winrate 🔴: 0,400000 ### player1bias: 21, 0,700000
38: --- wins 🔴: 12, wins 🔵: 18, no winner: 8   ---   winrate 🔴: 0,315789, winrate 🔵: 0,473684   ---   clean winrate 🔴: 0,400000, clean winrate 🔵: 0,600000 ### player1bias: 21, 0,700000
39: --- wins 🔵: 19, wins 🔴: 12, no winner: 8   ---   winrate 🔵: 0,487179, winrate 🔴: 0,307692   ---   clean winrate 🔵: 0,612903, clean winrate 🔴: 0,387097 ### player1bias: 22, 0,709677
40: --- wins 🔴: 13, wins 🔵: 19, no winner: 8   ---   winrate 🔴: 0,325000, winrate 🔵: 0,475000   ---   clean winrate 🔴: 0,406250, clean winrate 🔵: 0,593750 ### player1bias: 23, 0,718750
